,browserFamily,deviceCategory,geoCountryName,isMobile,label,lastActionMapId,lastActionType,numberOfEvents,vid,visitRefDomain,TIMESTAMP
0,Chrome Mobile,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,10,5aba8ec900252a226754e43f,,1530640830
1,Chrome Mobile,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,11,5acb4e9800252a2219fa1431,google.ie,1530640830
2,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,30,5a746d7300252a226ab98849,,1530640830
3,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,19,5a730c3b00252a227d1604c6,,1530640830
4,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,18,5a69de0200252a2277db2c1e,,1530640830
5,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,33,5a686c3600252a224fdd0244,,1530640830
6,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,25,5a842b1d00252a225d732833,,1530640830
7,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,20,5a4ea36100252a2210bdb950,,1530640830
8,Chrome,Desktop,Spain,False,False,ciqwehb936dwp01qirwyhd0i3,im,4,5ac625b300252a224cb41e83,live.com,1530640830
9,Chrome Mobile,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,32,5a8340c300252a2261a47a1e,,1530640830
10,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,32,5ae3512500252a22578ef5f7,,1530640830
11,Chrome Mobile,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,26,5a65d79b00252a2278f2bb5f,google.ie,1530640830
12,IE,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,74,5a86bd6800252a223d967809,carsireland.ie,1530640830
13,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5a5e22da00252a22058d4049,,1530640830
14,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,18,5a8ae0c500252a22136827d8,,1530640830
15,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,29,5a6b89ce00252a221d09ffa0,,1530640830
16,Mobile Safari,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,37,5a564b4d00252a225ae5ad49,google.ie,1530640830
17,Mobile Safari,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,23,5a6b091900252a2246f3b68f,,1530640830
18,Chrome,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,9,5ac4ce9700252a225709726c,google.ie,1530640830
19,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5aa6954f00252a2240650a4e,,1530640830
20,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,30,5adf23ac00252a2244afc5ea,,1530640830
21,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a6caab500252a224122cb03,,1530640830
22,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,19,5a5409a500252a223af7c98d,,1530640830
23,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,26,5a5b918d00252a221af97675,,1530640830
24,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,18,5a80e21a00252a227a58a487,,1530640830
